x,y,z
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.483116008616069070e-01,1.879944288174037817e-02,1.003344481605351066e-03
5.442844545464106121e-01,3.717525429518842017e-02,2.006688963210702132e-03
5.379981106294794424e-01,5.483868635649719742e-02,3.010033444816053415e-03
5.295674862022423657e-01,7.151424075569563776e-02,4.013377926421404264e-03
5.191408014777822988e-01,8.694396435611542739e-02,5.016722408026755113e-03
5.068969984158671060e-01,1.008914366909907517e-01,6.020066889632106830e-03
4.930426869730789030e-01,1.131453877626766025e-01,7.023411371237457679e-03
4.778086708389049364e-01,1.235228908613169446e-01,8.026755852842808528e-03
4.614461108971724124e-01,1.318720822746714538e-01,9.030100334448161112e-03
4.442223900571740658e-01,1.380743676391180397e-01,1.003344481605351023e-02
4.264167474499623856e-01,1.420460831526737522e-01,1.103678929765886281e-02
4.083157532196819428e-01,1.437395887946510131e-01,1.204013377926421366e-02
3.902086972128950837e-01,1.431437799273382327e-01,1.304347826086956451e-02
3.723829657550024597e-01,1.402840130429302279e-01,1.404682274247491536e-02
3.551194803956128077e-01,1.352214508123484316e-01,1.505016722408026794e-02
3.386882710168494515e-01,1.280518408409851983e-01,1.605351170568561706e-02
3.233442530617116617e-01,1.189037514924904809e-01,1.705685618729096964e-02
3.093232749035964568e-01,1.079362966638516969e-01,1.806020066889632222e-02
2.968384966101121902e-01,9.533638934944624332e-02,1.906354515050167134e-02
2.860771556376818237e-01,8.131557109471571065e-02,2.006688963210702045e-02
2.771977684261278663e-01,6.610647089976806612e-02,2.107023411371237304e-02
2.703278095554553229e-01,4.995895269135436356e-02,2.207357859531772562e-02
2.655619022025466625e-01,3.313601505520029356e-02,2.307692307692307820e-02
2.629605452247005815e-01,1.590951044287544289e-02,2.408026755852842732e-02
2.625493934380790373e-01,-1.444246511131350294e-03,2.508361204013377990e-02
2.643190986950242349e-01,-1.864891063709461783e-02,2.608695652173912902e-02
2.682257103400680354e-01,-3.543250677318249969e-02,2.709030100334447813e-02
2.741916246854683159e-01,-5.153172913006093953e-02,2.809364548494983072e-02
2.821070644361125535e-01,-6.669607151417726587e-02,2.909698996655518330e-02
2.918320606488316038e-01,-8.069172363241876311e-02,3.010033444816053588e-02
3.031989019639749205e-01,-9.330517290213043158e-02,3.110367892976588500e-02
3.160150086199923769e-01,-1.043464563331162748e-01,3.210702341137123411e-02
3.300661822664709977e-01,-1.136520130431886016e-01,3.311036789297658323e-02
3.451201769267360220e-01,-1.210870947139036508e-01,3.411371237458193928e-02
3.609305317129060664e-01,-1.265476986748310384e-01,3.511705685618728839e-02
3.772406021339830828e-01,-1.299619962000747586e-01,3.612040133779264445e-02
3.937877241146774954e-01,-1.312912368794306173e-01,3.712374581939799356e-02
4.103074431955882062e-01,-1.305301184528859237e-01,3.812709030100334268e-02
4.265377408329522058e-01,-1.277066201324769112e-01,3.913043478260869179e-02
4.422231902595376574e-01,-1.228813060403491086e-01,4.013377926421404090e-02
4.571189759908753647e-01,-1.161461138282319505e-01,4.113712374581939696e-02
4.709947137291188302e-01,-1.076226516771140174e-01,4.214046822742474607e-02
4.836380110800657661e-01,-9.746003457820157090e-02,4.314381270903009519e-02
4.948577140912328032e-01,-8.583229794660215961e-02,4.414715719063545124e-02
5.044867900598841715e-01,-7.293543310668229585e-02,4.515050167224080729e-02
5.123848032559843446e-01,-5.898409491324752701e-02,4.615384615384615641e-02
5.184399470511144026e-01,-4.420803664910469971e-02,4.715719063545150552e-02
5.225706033257027094e-01,-2.884833129498157872e-02,4.816053511705685464e-02
5.247264078208915272e-01,-1.315344124536465056e-02,4.916387959866220375e-02
5.248888081796746485e-01,2.624799497152340705e-03,5.016722408026755980e-02
5.230711096526251547e-01,1.823522569991724990e-02,5.117056856187290892e-02
5.193180116930968815e-01,3.343133903467470497e-02,5.217391304347825803e-02
5.137046468024382140e-01,4.797520032519399930e-02,5.317725752508360715e-02
5.063351408774861007e-01,6.164115445068871213e-02,5.418060200668895626e-02
4.973407218352978720e-01,7.421932960384887423e-02,5.518394648829431232e-02
4.868774103254679964e-01,8.551885667084985210e-02,5.618729096989966143e-02
4.751233327789349259e-01,9.537075940924651107e-02,5.719063545150501748e-02
4.622757027848091171e-01,1.036304717629201039e-01,5.819397993311036660e-02
4.485475217462914221e-01,1.101799449743522258e-01,5.919732441471571571e-02
4.341640538693303242e-01,1.149293140267375751e-01,6.020066889632107177e-02
4.193591337237681516e-01,1.178181002569963776e-01,6.120401337792642088e-02
4.043713668420694241e-01,1.188159346046154391e-01,6.220735785953176999e-02
3.894402850568554619e-01,1.179227937752660299e-01,6.321070234113712605e-02
3.748025185130799963e-01,1.151687494750346513e-01,6.421404682274246822e-02
3.606880455277538533e-01,1.106132386835137205e-01,6.521739130434782428e-02
3.473165797296631219e-01,1.043438705566088059e-01,6.622073578595316645e-02
3.348941512291793710e-01,9.647479286141037724e-02,6.722408026755852251e-02
3.236099349945982806e-01,8.714464773049242219e-02,6.822742474916387856e-02
3.136333752110268547e-01,7.651415287393793785e-02,6.923076923076923461e-02
3.051116492480926423e-01,6.476335010611714016e-02,7.023411371237457679e-02
2.981675090525688354e-01,5.208856804356503528e-02,7.123745819397993284e-02
2.928975314103055561e-01,3.869915003535516485e-02,7.224080267558528889e-02
2.893708016957949325e-01,2.481400173664700948e-02,7.324414715719063107e-02
2.876280485609748472e-01,1.065801518244518901e-02,7.424749163879598712e-02
2.876812396257880100e-01,-3.541572270194865389e-03,7.525083612040132930e-02
2.895136407425215053e-01,-1.755882520407462191e-02,7.625418060200668535e-02
2.930803339356957693e-01,-3.117270507458556189e-02,7.725752508361204141e-02
2.983091817896127984e-01,-4.417055561338753544e-02,7.826086956521738358e-02
3.051022189837258036e-01,-5.635142374668971471e-02,7.926421404682273963e-02
3.133374449737852396e-01,-6.752916418180174296e-02,8.026755852842808181e-02
3.228709855893937553e-01,-7.753527973484096447e-02,8.127090301003343786e-02
3.335395856627850764e-01,-8.622145413096876654e-02,8.227424749163879392e-02
3.451633898059352501e-01,-9.346173932499383941e-02,8.327759197324413609e-02
3.575489641887608094e-01,-9.915436527330531713e-02,8.428093645484949215e-02
