Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
0.0,-0.199781,-0.435773,1.618336,2.014967,0.0,0.0
0.1,-0.166012,-0.439145,1.62372,2.012359,0.0,0.0
0.2,-0.133237,-0.444225,1.635224,2.00716,0.0,0.0
0.3,-0.101652,-0.450921,1.65269,1.999538,0.0,0.0
0.4,-0.071475,-0.459082,1.675858,1.989636,0.0,0.0
0.5,-0.042942,-0.46851,1.704414,1.97767,0.0,0.0
0.6,-0.01632,-0.478963,1.737996,1.963887,0.0,0.0
0.7,0.008096,-0.490162,1.776196,1.948551,0.0,0.0
0.8,0.029969,-0.501788,1.818563,1.931899,0.0,0.0
0.9,0.048919,-0.513495,1.864637,1.914225,0.0,0.0
1.0,0.064511,-0.524906,1.913931,1.895781,0.0,0.0
1.1,0.076251,-0.535616,1.965935,1.87681,0.0,0.0
1.2,0.083581,-0.545196,2.020122,1.857543,0.0,0.0
1.3,0.085871,-0.553198,2.07594,1.838197,0.0,0.0
1.4,0.082422,-0.559164,2.132804,1.818987,0.0,0.0
1.5,0.07248,-0.562646,2.190081,1.800123,0.0,0.0
1.6,0.05526,-0.563235,2.247074,1.781826,0.0,0.0
1.7,0.030004,-0.560618,2.302993,1.764316,0.0,0.0
1.8,-0.003927,-0.554661,2.356927,1.747836,0.0,0.0
1.9,-0.046906,-0.545526,2.407816,1.73265,0.0,0.0
2.0,-0.098845,-0.533823,2.454421,1.719046,0.0,0.0
2.1,-0.158956,-0.52075,2.495327,1.707335,0.0,0.0
2.2,-0.225549,-0.508137,2.528989,1.697838,0.0,0.0
2.3,-0.295965,-0.498281,2.553854,1.690865,0.0,0.0
2.4,-0.366772,-0.493466,2.568584,1.686676,0.0,0.0
2.5,-0.434241,-0.495264,2.572327,1.685433,0.0,0.0
2.6,-0.495002,-0.503931,2.564931,1.687168,0.0,0.0
2.7,-0.5466,-0.518285,2.546996,1.691768,0.0,0.0
2.8,-0.587741,-0.536159,2.519724,1.698997,0.0,0.0
2.9,-0.618206,-0.555124,2.484655,1.708543,0.0,0.0
3.0,-0.638554,-0.573096,2.44341,1.720055,0.0,0.0
3.1,-0.649788,-0.588627,2.397518,1.733184,0.0,0.0
3.2,-0.653085,-0.600922,2.348333,1.747604,0.0,0.0
3.3,-0.649623,-0.609708,2.297018,1.763018,0.0,0.0
3.4,-0.640485,-0.615078,2.244562,1.779156,0.0,0.0
3.5,-0.626626,-0.617339,2.191808,1.795771,0.0,0.0
3.6,-0.608864,-0.616919,2.139477,1.812615,0.0,0.0
3.7,-0.587895,-0.614294,2.088217,1.829489,0.0,0.0
3.8,-0.564302,-0.609949,2.038602,1.846183,0.0,0.0
3.9,-0.538579,-0.604356,1.991155,1.862491,0.0,0.0
4.0,-0.511145,-0.597958,1.946359,1.878204,0.0,0.0
4.1,-0.48236,-0.591169,1.904671,1.893142,0.0,0.0
4.2,-0.452532,-0.584365,1.866499,1.90707,0.0,0.0
4.3,-0.421935,-0.577885,1.832228,1.919781,0.0,0.0
4.4,-0.390812,-0.572032,1.802204,1.931074,0.0,0.0
4.5,-0.359382,-0.567071,1.776738,1.940761,0.0,0.0
